tag,target_mL,mode,name,unit,minimum_margin,time_s,violated
D_diagnostic_baseline,300,2,cable_tension_boundary,N,9.972981568256041e-06,0.058463516752014145,False
D_diagnostic_baseline,300,2,reverse_flow_boundary,m^3/s,1e-13,0,False
D_diagnostic_baseline,300,3,phase_boundary,rad,0.1995911919177673,1.9956827407873883,False
D_diagnostic_baseline,300,3,50mm_limit,m,0.08201829684797501,24.791641065758768,False
D_diagnostic_baseline,300,3,sphere_limit,m^3,0.00016561196449328032,23.461980544996944,False
D_diagnostic_baseline,300,3,extension_boundary,m,9.99999995370915e-07,0.33136644026361367,False
D_diagnostic_baseline,300,3,speed_envelope_boundary,rad/s,4.371467786058561,18.961272334151502,False
D_diagnostic_baseline,300,3,cable_tension_boundary,N,9.972981568256041e-06,0.058463516752014145,False
D_diagnostic_baseline,300,3,reverse_flow_boundary,m^3/s,1e-13,0,False
FINAL_convergence_tight,300,2,phase_boundary,rad,0.32797885605984956,3.042991336268917,False
FINAL_convergence_tight,300,2,50mm_limit,m,0.08205869201859392,25.06160491183725,False
FINAL_convergence_tight,300,2,sphere_limit,m^3,0.00016561196470614496,23.8480174267621,False
FINAL_convergence_tight,300,2,extension_boundary,m,9.999999999739615e-07,0.32468826954761676,False
FINAL_convergence_tight,300,2,speed_envelope_boundary,rad/s,4.378511583990045,19.560299133745804,False
FINAL_convergence_tight,300,2,cable_tension_boundary,N,9.999640098573213e-06,0.07414422548491709,False
FINAL_convergence_tight,300,2,reverse_flow_boundary,m^3/s,1e-13,0,False
FINAL_selected,200,2,phase_boundary,rad,0.32797837908447924,3.042871209401209,False
FINAL_selected,200,2,50mm_limit,m,0.11253215355835693,17.419187786092508,False
FINAL_selected,200,2,sphere_limit,m^3,0.00026561196465825856,17.20363026772741,False
FINAL_selected,200,2,extension_boundary,m,9.99999995370915e-07,0.33136644026361367,False
FINAL_selected,200,2,speed_envelope_boundary,rad/s,4.749412007177185,12.854809948751377,False
FINAL_selected,200,2,cable_tension_boundary,N,9.972981568256041e-06,0.058463516752014145,False
FINAL_selected,200,2,reverse_flow_boundary,m^3/s,1e-13,0,False
FINAL_selected,300,2,phase_boundary,rad,0.32797837908447924,3.042871209401209,False
FINAL_selected,300,2,50mm_limit,m,0.08205869219557571,23.987682725267586,False
FINAL_selected,300,2,sphere_limit,m^3,0.0001656119647062038,23.84801793143251,False
FINAL_selected,300,2,extension_boundary,m,9.99999995370915e-07,0.33136644026361367,False
FINAL_selected,300,2,speed_envelope_boundary,rad/s,4.378492345726478,19.55844405143353,False
FINAL_selected,300,2,cable_tension_boundary,N,9.972981568256041e-06,0.058463516752014145,False
FINAL_selected,300,2,reverse_flow_boundary,m^3/s,1e-13,0,False
FINAL_selected,400,2,phase_boundary,rad,0.32797837908447924,3.042871209401209,False
FINAL_selected,400,2,50mm_limit,m,0.04078785400599881,31.784181650461612,False
FINAL_selected,400,2,sphere_limit,m^3,6.561196480587201e-05,30.469430330708164,False
FINAL_selected,400,2,extension_boundary,m,9.99999995370915e-07,0.33136644026361367,False
